Type,ID,Name,File,xPos,yPos,con0,con1,con2,con3,con4,con5,con6,con7,con8,con9,con10,con11,con12,con13,con14,con15,nav0,nav1,nav2,nav3,nav4,nav5,nav6,nav7,nav8,nav9,nav10,nav11,nav12,nav13,nav14,nav15,DudeTypes0,DudeTypes1,DudeTypes2,DudeTypes3,DudeTypes4,DudeTypes5,DudeTypes6,DudeTypes7,Probs0,Probs1,Probs2,Probs3,Probs4,Probs5,Probs6,Probs7,AvgShips,Govt,Message,Asteroids,Interference,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,PersonProb0,PersonProb1,PersonProb2,PersonProb3,PersonProb4,PersonProb5,PersonProb6,PersonProb7,BkgndColor,Murk,AstTypes,Visiblility,ReinfFleet,ReinfTime,ReinfIntrval,EOR
sÿst,128,Kania,Nova Data 2,160,-20,Polaris (199),NGC-2051 (200),NGC-1743 (202),Tichel (129),Altair (135),,,,,,,,,,,,Port Kane (137),HG-Kania (1404),,,,,,,,,,,,,,,128,130,134,136,211,210,233,260,30,10,12,5,12,10,1,20,4,Federation (128),-1,3,0,510,155,156,128,227,158,157,296,50,1,1,10,1,1,1,15,#000000,0,0x0711,0,Federation Carrier + Escorts (129),900,2,€
sÿst,129,Tichel,Nova Data 2,110,40,Kania (128),SPC-050 (325),Unin (327),Sol (130),Sol (531),Fomalhaut (136),,,,,,,,,,,Viking (157),Spacedock II (133),HG-Tichel (1405),,,,,,,,,,,,,,130,191,134,128,211,210,228,233,41,13,6,12,8,4,15,1,4,Federation (128),1,4,0,486,167,182,128,179,183,300,-1,50,5,4,11,3,2,15,0,#000000,0,0x0711,0,Fed +S. Vell (189),450,1,€
sÿst,130,Sol,Nova Data 2,0,0,Wolf 359 (162),Nesre Primus (132),Alphara (131),Tichel (129),Tau Ceti (143),Nesre Secundus (133),Nesre Secundus (536),Kerella (134),Archenar (142),,,,,,,,Earth (128),Mars (158),Jupiter (159),Europa (160),,,,,,,,,,,,Wormhole (465),130,174,128,129,211,210,248,249,17,13,18,8,15,7,10,10,6,Federation (128),-1,2,0,128,227,156,299,-1,-1,-1,-1,12,1,2,15,0,0,0,0,#000000,0,0x1311,!(b147 | b305),Vell-os Armada (145),480,1,€
sÿst,131,Alphara,Nova Data 2,50,70,Vega (137),Vemap (336),Spica (144),Sol (130),Sol (531),,,,,,,,,,,,Spacedock III (136),HG-Alphara (1406),,,,,,,,,,,,,,,-129,130,128,191,211,210,232,233,20,16,20,31,6,5,1,1,4,Federation (128),1,5,20,128,303,-1,-1,-1,-1,-1,-1,10,15,0,0,0,0,0,0,#191900,20,0x1F33,0,Fed +S. Vell (189),450,1,€
sÿst,132,Nesre Primus,Nova Data 2,30,-70,SPC-011 (465),Pollux (139),Arcturus (138),Sol (531),Sol (130),Aldebaran (532),Aldebaran (141),Capella (140),,,,,,,,,New Babylon (134),Spacedock IV (142),Georgia (175),HG-Primus (1407),,,,,,,,,,,,,128,130,174,170,202,203,249,211,25,13,12,15,5,5,15,10,4,Federation (128),-1,3,0,181,156,131,227,182,184,183,302,8,3,10,1,2,8,2,12,#000000,0,0x0711,0,Fed +S. Vell (189),630,3,€
sÿst,133,Nesre Secundus,Nova Data 2,-75,20,HJG-0637 (146),Sol (531),Sol (130),Xante (376),HJG-1034 (145),,,,,,,,,,,,Pyrogenesis I (161),Nesre Secundus IV (176),Spacedock V (150),HG-Secundus (1408),,,,,,,,,,,,,184,-146,189,189,211,210,247,248,10,10,15,15,10,10,20,10,5,Roughnecks (145),1,4,5,128,227,301,132,-1,-1,-1,-1,17,1,17,10,0,0,0,0,#000000,5,0x0711,!b190,Roughnecks (146),360,1,€
sÿst,134,Kerella,Nova Data 2,-120,-60,Sirius (148),Procyon (1127),Sol (531),Sol (130),Procyon (147),Lalande 21185 (149),SPC-034 (391),,,,,,,,,,Spacedock VI (154),HG-Kerella (1409),,,,,,,,,,,,,,,151,130,184,192,211,210,231,233,50,10,14,4,13,7,1,1,4,Federation (128),-1,3,0,298,227,133,-1,-1,-1,-1,-1,15,1,15,0,0,0,0,0,#000000,0,0x0711,0,Wild Geese (144),360,2,€
sÿst,135,Altair,Nova Data 2,130,-50,Tenetria (150),Kania (128),Galvan (151),,,,,,,,,,,,,,Alt (162),Altia (163),,,,,,,,,,,,,,,153,134,172,130,202,203,274,228,4,30,10,35,4,3,10,4,3,Federation (128),-1,2,0,155,158,156,157,-1,-1,-1,-1,10,10,5,5,0,0,0,0,#000000,0,0x0300,0,Federation Carrier + Escorts (129),900,5,€
sÿst,136,Fomalhaut,Nova Data 2,105,10,Kon (152),Tichel (129),Murasaki (154),SPC-1927 (153),,,,,,,,,,,,,Snowmelt (164),Gem (165),,,,,,,,,,,,,,,128,129,199,134,228,231,232,249,20,19,20,19,10,1,1,10,2,Federation (128),-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x8733,0,Small Federation Fleet (128),1350,15,€
sÿst,137,Vega,Nova Data 2,50,40,Fire (156),Obatta (155),Alphara (131),McMurdo (157),,,,,,,,,,,,,Las Vegas (140),HG-Vega (131),,,,,,,,,,,,,,,129,199,134,132,228,128,231,232,25,15,20,15,13,10,1,1,2,Federation (128),-1,3,10,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#050500,7,0x0711,0,Small Federation Fleet (128),2700,20,€
